gene	time1	time2	time3	time4	time5	time6	time7	time8	time9	time10
F2	17.261947	17.496651	17.764004	17.151025	17.46154	17.664425	17.536008	17.236795	16.708255	17.284217
F2	17.317356	17.722311	17.864695	17.326937	17.527163	17.822574	17.724089	17.098845	16.885074	17.200628
F2	16.992753	17.178299	17.820845	17.23093	17.375763	17.822574	17.488345	16.808173	16.760427	17.156952
F2	17.18715	16.978875	17.902751	17.23093	17.46154	17.917589	17.690298	17.264139	16.708255	16.800624
F2	17.379483	16.978875	17.864695	17.151025	17.527163	17.388829	17.650048	17.098845	16.760427	17.284217
F2	17.431984	17.262815	17.764004	17.23093	17.527163	17.772706	17.724089	17.236795	16.885074	17.284217
F2	17.379483	17.496651	17.713474	17.23093	17.653551	17.596901	17.536008	17.098845	16.810779	16.939801
F2	17.317356	17.550002	17.864695	17.326937	17.752307	17.994336	17.569847	17.141387	16.964786	17.235296
F2	17.317356	17.605197	17.764004	17.422488	17.46154	17.664425	17.569847	17.236795	16.810779	17.027673
F3	16.249127	16.075963	16.4578	15.698704	16.158705	16.001005	16.144323	16.475803	16.093377	16.611629
F3	16.314325	15.970505	15.965814	15.460715	16.158705	16.08095	16.200819	16.541412	16.093377	16.397896
F3	16.249127	15.890636	15.718632	15.600658	16.158705	16.001005	16.371266	16.718034	16.286942	16.648245
F3	16.185775	15.760173	15.812831	15.756247	16.087986	16.001005	16.291824	16.389346	16.019794	16.335117
F3	16.314325	15.760173	15.88505	15.698704	16.087986	15.718356	16.291824	16.475803	16.170065	16.74373
F3	16.185775	16.075963	16.312709	15.600658	16.158705	16.001005	16.200819	16.389346	16.019794	16.187673
F3	16.185775	15.970505	15.965814	15.600658	15.895729	15.90003	16.291824	16.389346	16.093377	16.465332
F3	16.185775	15.890636	15.965814	15.698704	17.131866	16.865763	16.500349	16.718034	16.356557	16.800624
F3	16.087633	15.760173	15.812831	15.756247	16.009541	15.90003	16.144323	16.475803	16.230678	16.518202
F3	16.185775	15.970505	15.88505	15.756247	16.244658	16.400179	16.200819	16.718034	16.230678	16.648245
F3	16.314325	15.890636	15.88505	15.698704	16.158705	16.145625	16.144323	16.475803	16.170065	16.397896
F3	16.314325	15.970505	15.965814	15.600658	16.244658	16.522226	16.500349	16.601929	16.170065	16.901396
F3	16.314325	15.890636	15.88505	15.600658	16.009541	16.08095	16.291824	16.389346	16.170065	16.700975
F3	16.314325	16.151661	15.88505	15.813154	16.59337	16.655492	16.432337	16.541412	16.286942	16.901396
F3	16.314325	15.970505	15.812831	15.756247	16.009541	16.08095	16.291824	16.278515	16.286942	16.518202
F3	16.185775	16.219404	16.046394	15.936925	16.680455	16.257277	16.200819	16.601929	16.230678	16.939801
F3	16.48956	15.890636	16.522034	15.698704	16.158705	16.145625	16.291824	16.389346	16.019794	16.74373
F3	16.89854	16.667286	16.605268	16.337505	16.244658	16.08095	15.990604	16.025077	16.170065	15.908606
F3	16.728552	16.82901	16.677978	16.209476	16.244658	16.08095	16.836045	16.932317	16.230678	16.852131
F3	16.679238	16.772366	16.82676	16.337505	16.680455	16.400179	15.990604	15.898387	15.783242	16.397896
F3	16.82623	16.772366	16.82676	16.337505	16.158705	16.710287	16.914506	17.141387	16.497242	16.939801
F3	16.89854	16.82901	16.915883	16.27031	16.59337	16.257277	15.925401	16.15145	15.957592	15.908606
F3	16.728552	16.978875	17.096452	16.542995	16.680455	16.806505	16.766728	17.141387	16.621009	16.852131
F3	16.402754	16.427559	16.4578	15.698704	15.733924	16.08095	15.925401	16.389346	15.870185	16.465332
F3	16.402754	16.622591	16.522034	15.756247	16.009541	16.08095	15.834948	15.959299	15.714487	15.908606
F3	16.553979	16.427559	16.4578	16.141069	15.895729	16.145625	16.371266	16.808173	16.170065	16.74373
F3	16.48956	16.667286	16.605268	15.936925	16.477321	16.145625	15.69812	15.783799	15.957592	16.901396
F3	16.679238	16.482906	16.123757	15.813154	16.009541	16.655492	16.371266	17.044719	16.286942	16.852131
F3	16.679238	16.720612	16.522034	16.141069	16.341237	16.257277	15.69812	15.898387	15.913342	16.267824
F3	16.553979	16.82901	16.4578	16.337505	16.158705	16.400179	16.291824	16.992299	16.230678	16.852131
F3	16.7796	16.82901	16.123757	16.209476	16.477321	16.806505	15.834948	16.845935	16.170065	16.983197
F3	16.82623	16.82901	16.226231	16.382858	16.009541	16.522226	16.577011	17.206737	16.286942	17.027673
F3	16.89854	16.82901	16.522034	15.936925	16.158705	16.08095	15.69812	16.025077	15.714487	15.908606
F3	16.938333	16.978875	16.312709	16.141069	16.88974	16.710287	16.686825	16.883604	16.356557	16.800624
F4	17.261947	17.05065	17.256561	16.4866	17.653551	17.159465	17.144147	16.655835	17.101817	16.901396
F4	17.317356	16.898786	17.096452	16.4866	16.88974	17.214206	16.914506	16.718034	16.810779	16.983197
F4	17.379483	16.898786	17.01411	16.382858	17.088655	17.159465	17.210954	16.808173	16.927812	17.027673
F4	17.226496	16.622591	17.096452	16.4866	17.179699	17.339366	17.298567	16.763472	17.101817	17.235296
F4	17.379483	16.898786	17.096452	16.429919	16.96107	17.664425	17.457579	16.845935	16.964786	17.450143
F4	17.091695	16.772366	16.605268	16.337505	17.054045	17.159465	17.210954	16.845935	17.010509	17.318106
F4	17.048201	16.720612	16.82676	16.337505	17.054045	17.159465	17.144147	16.992299	17.199076	17.318106
F4	17.18715	16.772366	17.096452	16.382858	16.96107	17.214206	17.259652	16.845935	17.152024	17.402157
F4	17.18715	16.82901	17.096452	16.382858	17.224018	17.159465	17.210954	16.718034	17.199076	17.284217
F4	17.134114	16.82901	16.915883	16.27031	17.323801	17.026547	17.344522	16.932317	17.152024	17.450143
F4	17.18715	16.898786	17.096452	16.337505	17.179699	17.214206	18.30686	16.763472	17.010509	17.318106
F4	17.261947	16.720612	17.168832	16.382858	17.269421	17.303304	17.344522	16.932317	17.411154	17.450143
F4	17.379483	16.898786	17.168832	16.382858	17.224018	17.214206	17.298567	16.845935	17.152024	17.357387
F4	17.134114	16.898786	17.605325	16.337505	17.224018	17.259038	17.536008	16.763472	17.152024	17.545841
F4	17.261947	16.82901	17.096452	16.27031	17.088655	17.214206	17.569847	16.718034	17.101817	17.357387
F4	17.317356	16.622591	17.096452	16.141069	17.224018	17.214206	17.298567	16.883604	17.152024	17.545841
F4	17.317356	16.978875	17.01411	16.337505	17.323801	17.214206	17.344522	16.808173	17.101817	17.450143
F4	17.431984	17.434177	17.37045	16.382858	17.224018	17.159465	17.420556	17.098845	17.152024	17.402157
F4	17.317356	17.05065	17.256561	16.382858	17.131866	17.159465	17.210954	16.763472	16.853962	17.156952
F4	17.261947	16.978875	17.096452	16.209476	17.179699	16.865763	17.144147	16.992299	16.760427	16.939801
F4	17.134114	17.05065	17.096452	16.27031	17.088655	16.655492	17.210954	16.655835	16.708255	16.553575
F4	17.261947	17.262815	17.168832	16.768734	17.269421	16.963898	17.259652	17.206737	17.010509	17.357387
F4	17.771453	17.372926	17.425187	17.084873	17.375763	17.214206	17.690298	17.206737	17.411154	18.075174
F4	17.70533	17.221983	17.37045	17.015779	17.323801	16.922224	17.690298	17.206737	17.411154	17.598713
F4	17.62143	17.178299	17.425187	17.015779	17.179699	17.159465	17.612545	16.932317	17.101817	17.598713
F4	17.62143	17.31687	17.256561	17.084873	17.088655	16.963898	17.690298	17.294565	17.258737	17.656021
F4	17.70533	17.118972	17.425187	16.948044	17.269421	17.303304	17.763303	17.236795	17.258737	17.598713
F4	17.70533	17.221983	17.168832	16.864819	17.131866	17.339366	17.809087	17.206737	17.101817	17.598713
F4	17.771453	17.221983	17.37045	16.864819	17.131866	17.259038	17.724089	17.044719	17.101817	17.545841
F4	17.62143	17.05065	17.605325	16.864819	16.96107	17.259038	17.724089	17.206737	17.199076	17.357387
F4	17.864421	17.31687	17.605325	16.948044	17.375763	17.303304	17.488345	17.044719	17.199076	17.790299
F4	17.62143	16.898786	17.168832	16.948044	17.224018	17.259038	17.420556	16.992299	17.199076	17.598713
F4	17.5178	17.372926	17.313655	16.768734	17.179699	17.259038	17.376897	17.098845	17.101817	17.494379
F4	17.431984	17.372926	17.096452	16.595712	17.323801	17.339366	17.457579	17.206737	17.010509	17.598713
F5	16.185775	16.82901	16.522034	15.870678	16.009541	16.469964	15.834948	16.083875	15.714487	16.518202
F5	15.960448	16.551864	16.046394	15.698704	16.009541	16.257277	15.69812	15.898387	15.619575	16.335117
F5	15.960448	16.551864	16.4578	15.756247	16.244658	16.320754	15.925401	15.898387	15.870185	16.397896
F5	16.087633	16.219404	16.046394	15.460715	16.158705	16.08095	15.834948	16.025077	15.619575	16.397896
F5	16.087633	16.551864	15.718632	15.600658	16.158705	16.191629	16.060466	15.959299	15.619575	16.465332
F5	16.017783	16.720612	15.718632	15.460715	16.009541	16.469964	15.990604	15.959299	15.913342	16.267824
F5	15.886621	16.288609	15.718632	15.460715	16.009541	16.08095	15.69812	16.025077	15.714487	16.518202
F5	16.142352	16.898786	16.388214	15.460715	16.009541	16.145625	15.834948	16.025077	15.913342	16.518202
F5	16.314325	16.151661	15.88505	15.460715	16.087986	16.001005	15.990604	15.783799	15.783242	16.397896
F5	16.087633	16.482906	16.522034	15.460715	16.087986	16.191629	16.060466	16.025077	16.019794	16.187673
F5	15.960448	16.427559	16.522034	15.460715	15.895729	16.257277	15.69812	15.959299	15.714487	16.465332
F5	16.142352	16.427559	16.771702	15.460715	16.158705	16.400179	15.990604	16.15145	15.833994	16.518202
F5	15.886621	15.970505	16.312709	15.460715	16.087986	16.257277	15.69812	16.025077	15.619575	16.335117
F5	16.087633	16.219404	16.388214	15.600658	15.895729	16.145625	15.69812	16.083875	15.783242	16.335117
F5	15.886621	16.075963	15.718632	15.870678	15.733924	17.026547	15.69812	15.898387	15.833994	16.187673
F5	15.960448	16.151661	15.622039	15.698704	15.895729	15.90003	15.69812	15.959299	15.783242	16.465332
F5	15.886621	16.151661	15.718632	15.460715	15.733924	15.90003	15.69812	15.783799	15.619575	15.908606
F5	15.886621	15.970505	15.622039	15.460715	16.341237	16.145625	15.69812	16.15145	15.714487	16.465332
F5	16.142352	16.622591	16.046394	16.141069	16.087986	16.522226	16.291824	16.655835	16.019794	16.553575
F5	16.087633	15.760173	15.718632	15.460715	16.087986	15.90003	15.925401	16.278515	15.619575	16.465332
F5	16.185775	16.667286	16.312709	15.936925	16.341237	15.90003	16.144323	16.475803	15.833994	16.335117
F5	16.185775	16.075963	15.718632	15.600658	16.341237	16.145625	16.060466	16.025077	15.714487	16.267824
F5	16.142352	16.219404	16.046394	15.460715	16.756872	16.469964	16.500349	15.783799	15.870185	16.700975
F5	16.087633	16.482906	15.812831	15.870678	16.680455	16.400179	16.144323	15.898387	15.957592	16.267824
F5	16.185775	15.890636	15.718632	15.600658	16.087986	16.257277	16.144323	16.083875	15.833994	16.267824
F5	16.087633	16.219404	16.046394	15.870678	16.244658	16.469964	15.990604	15.898387	15.714487	16.335117
F5	15.886621	15.970505	15.718632	15.870678	16.244658	16.08095	16.060466	15.959299	15.619575	16.267824
F5	16.142352	16.219404	15.718632	15.756247	16.341237	16.145625	15.990604	15.959299	15.913342	16.267824
F5	16.185775	16.151661	15.718632	15.460715	16.009541	15.90003	15.834948	15.959299	15.619575	16.335117
F5	16.142352	15.890636	15.718632	15.600658	16.244658	16.08095	16.144323	16.025077	15.783242	16.335117
F5	16.249127	15.890636	15.718632	15.600658	16.158705	15.718356	15.69812	15.637866	15.619575	16.119098
F5	16.017783	16.219404	15.812831	15.460715	16.477321	15.718356	15.834948	15.959299	15.619575	16.055005
F5	15.886621	15.890636	15.718632	15.600658	16.59337	16.001005	15.834948	15.637866	15.619575	15.755527
F5	15.73716	16.151661	15.622039	16.27031	16.158705	16.08095	15.69812	16.025077	15.833994	16.055005
F6	17.134114	17.550002	17.168832	16.768734	17.179699	17.259038	17.569847	17.532097	16.964786	17.450143
F6	17.379483	17.496651	17.668627	16.595712	17.269421	17.474804	17.724089	17.48988	17.152024	17.318106
F6	17.134114	17.31687	17.256561	16.768734	17.224018	17.303304	17.690298	17.393209	17.010509	17.318106
F6	17.317356	17.550002	17.256561	16.768734	17.224018	17.388829	17.690298	17.456324	17.258737	17.357387
F6	17.226496	17.221983	17.482102	16.695891	17.269421	17.388829	17.690298	17.48988	17.101817	17.494379
F6	17.134114	17.550002	17.37045	16.768734	17.269421	17.553119	17.650048	17.532097	17.152024	17.357387
F6	17.226496	17.31687	17.559971	16.768734	17.131866	17.432671	17.612545	17.48988	17.010509	17.357387
F6	17.431984	17.550002	17.668627	16.768734	17.179699	17.432671	17.650048	17.264139	16.927812	17.318106
F6	17.474069	17.672424	17.668627	16.864819	17.375763	17.339366	17.569847	17.427507	16.927812	17.116842
F6	17.474069	17.722311	17.668627	16.595712	17.131866	17.303304	17.650048	17.427507	17.010509	17.318106
F6	17.62143	17.672424	17.764004	16.864819	17.269421	17.339366	17.650048	17.427507	17.152024	17.156952
F6	17.62143	17.550002	17.764004	16.337505	17.179699	17.339366	17.569847	17.264139	17.010509	17.235296
F6	17.568244	18.018865	18.047245	17.084873	17.269421	17.596901	17.690298	17.48988	17.010509	17.235296
F6	17.317356	17.944674	17.668627	16.4866	17.088655	17.339366	17.612545	17.427507	17.010509	17.156952
F6	17.379483	17.722311	17.902751	17.015779	17.269421	17.596901	17.612545	17.365385	17.056038	17.450143
F6	17.18715	17.879044	17.313655	16.647247	17.131866	17.432671	17.612545	17.264139	17.010509	17.318106
F6	17.261947	17.605197	17.713474	16.948044	17.224018	17.474804	17.612545	17.206737	17.152024	17.357387
F6	17.134114	17.178299	17.425187	16.768734	17.375763	17.432671	17.650048	17.393209	17.101817	17.494379
F6	17.226496	17.496651	17.37045	16.864819	17.46154	17.339366	17.420556	17.456324	17.152024	17.545841
F6	17.18715	17.550002	17.37045	16.864819	17.46154	17.388829	17.650048	17.532097	17.101817	17.450143
F6	17.379483	17.81129	17.37045	17.015779	17.323801	17.388829	17.488345	17.48988	17.101817	17.357387
F6	17.317356	17.221983	17.37045	16.695891	17.323801	17.303304	17.612545	17.679348	17.101817	17.402157
F6	17.379483	17.496651	17.313655	16.948044	17.323801	17.159465	17.612545	17.679348	17.199076	17.656021
F6	17.317356	17.496651	17.313655	16.948044	17.46154	17.772706	17.650048	17.532097	17.363914	17.450143
F6	16.938333	17.118972	16.605268	16.382858	17.088655	17.214206	17.210954	17.294565	16.810779	17.200628
F6	17.317356	17.118972	17.168832	16.595712	17.054045	17.099436	17.086054	17.141387	16.810779	16.983197
F6	17.226496	17.434177	17.256561	16.4866	17.375763	17.099436	17.420556	17.456324	16.964786	17.357387
F6	17.18715	17.434177	17.425187	16.542995	17.179699	17.099436	17.344522	17.393209	16.927812	17.284217
F6	17.317356	17.372926	17.425187	16.4866	17.527163	17.214206	17.488345	17.456324	17.010509	17.284217
F6	17.261947	17.550002	17.168832	16.542995	17.323801	17.214206	17.488345	17.427507	17.056038	17.318106
F6	17.261947	17.221983	17.313655	16.768734	17.46154	17.474804	17.650048	17.393209	17.056038	17.402157
F6	17.18715	17.31687	17.37045	16.542995	17.054045	17.026547	17.690298	17.427507	16.964786	17.284217
F6	17.048201	17.05065	17.482102	16.595712	17.527163	17.388829	18.119507	17.294565	17.152024	17.318106
F6	17.048201	17.05065	17.482102	16.695891	17.088655	17.388829	18.119507	17.456324	17.101817	17.318106
F7	17.864421	18.286431	17.820845	17.272069	17.269421	16.963898	16.686825	16.601929	16.451941	16.700975
F7	18.120331	18.40093	17.999947	17.37318	17.527163	17.026547	16.836045	16.845935	16.40167	16.852131
F7	17.966322	18.286431	17.902751	17.272069	17.375763	16.963898	16.686825	16.601929	16.497242	16.700975
F7	18.120331	18.40093	17.949042	17.422488	17.269421	17.099436	16.836045	16.601929	16.40167	16.852131
F7	17.966322	18.337814	18.047245	17.326937	17.224018	16.963898	16.686825	16.389346	16.286942	16.518202
F7	18.120331	18.40093	18.123868	17.326937	15.733924	15.718356	16.766728	16.541412	16.230678	16.852131
F7	17.864421	18.337814	17.999947	17.272069	17.224018	17.099436	16.577011	16.601929	16.286942	16.800624
F7	17.864421	18.286431	18.047245	17.23093	17.269421	17.099436	16.914506	16.475803	16.451941	16.983197
F7	18.059109	18.227896	17.949042	17.151025	17.012587	16.806505	16.987664	16.278515	16.356557	16.939801
F7	18.059109	18.286431	18.047245	17.326937	17.179699	16.806505	16.836045	16.601929	16.40167	16.611629
F7	18.059109	18.286431	17.713474	17.326937	17.012587	16.922224	16.766728	16.389346	16.538856	16.611629
F7	17.966322	18.227896	17.999947	17.37318	17.088655	17.026547	16.836045	16.541412	16.451941	16.648245
F7	18.190249	18.116642	17.999947	17.422488	17.012587	16.865763	16.914506	16.601929	16.621009	16.983197
F7	17.864421	18.227896	17.949042	17.37318	17.012587	16.963898	16.836045	16.389346	16.451941	16.553575
F7	18.120331	18.171508	18.086701	17.37318	17.054045	16.922224	16.914506	16.541412	16.356557	16.800624
F7	17.864421	18.116642	17.902751	17.23093	16.88974	16.922224	16.914506	16.278515	16.40167	16.518202
F7	17.864421	18.171508	17.949042	17.37318	16.88974	17.026547	16.686825	16.655835	16.538856	16.611629
F7	18.190249	18.286431	18.047245	17.37318	17.323801	17.026547	16.836045	16.601929	16.621009	16.518202
F7	17.966322	18.286431	18.047245	17.422488	17.527163	17.432671	16.686825	16.025077	16.286942	16.700975
F7	18.2882	18.40093	18.086701	17.272069	17.527163	17.159465	16.686825	16.655835	16.621009	16.852131
F7	18.2882	18.337814	18.123868	17.151025	17.527163	17.214206	16.766728	16.15145	16.40167	16.518202
F7	18.407859	18.40093	18.223681	17.466547	17.46154	17.099436	16.987664	16.763472	16.760427	17.070526
F7	18.190249	18.286431	18.170014	17.326937	17.527163	17.259038	16.836045	16.475803	16.583939	16.648245
F7	18.495737	18.337814	18.333527	17.655449	17.527163	16.963898	16.914506	16.883604	16.583939	17.027673
F7	18.190249	18.171508	18.086701	17.37318	17.269421	16.963898	16.836045	16.655835	16.583939	16.983197
F7	18.2882	18.337814	18.28057	17.512699	17.269421	17.159465	17.144147	16.475803	16.760427	17.027673
F7	18.190249	18.227896	17.820845	17.37318	17.323801	16.865763	16.914506	16.541412	16.356557	16.611629
F7	18.2882	18.40093	17.949042	17.609199	17.224018	16.586436	16.987664	16.655835	16.708255	17.027673
F7	18.190249	18.337814	18.047245	17.37318	17.323801	17.026547	16.914506	16.389346	16.356557	16.465332
F7	17.568244	17.944674	17.37045	16.948044	17.012587	16.655492	16.766728	16.15145	16.093377	16.648245
F7	17.568244	17.879044	17.425187	17.084873	16.88974	16.320754	16.500349	15.959299	15.870185	16.397896
F7	17.864421	18.227896	17.949042	17.422488	17.46154	17.159465	16.686825	16.278515	16.230678	16.335117
F7	18.2882	18.40093	17.949042	17.466547	17.224018	17.099436	16.914506	16.763472	16.583939	16.74373
F7	17.966322	18.337814	17.713474	17.37318	17.179699	17.303304	16.766728	16.15145	16.230678	16.397896
F8	15.73716	18.716736	19.25308	18.929797	19.209513	19.054957	19.445561	19.024985	19.17845	18.709331
F8	16.017783	18.885266	19.690709	19.285514	19.533402	19.441883	19.862169	19.444651	19.17845	19.421882
F8	15.886621	18.716736	19.182934	18.929797	19.151068	18.980794	19.54021	19.110865	18.967617	18.815496
F8	16.017783	18.885266	19.690709	19.285514	19.533402	19.441883	19.862169	19.444651	19.17845	19.233178
F8	15.886621	18.716736	19.303538	18.851674	19.096432	18.980794	19.657067	19.110865	18.967617	18.815496
F8	15.960448	18.716736	19.303538	18.73665	19.209513	19.142824	19.54021	19.110865	18.967617	18.913273
F8	16.087633	18.716736	19.690709	19.285514	19.408407	19.27382	19.862169	19.444651	19.17845	19.233178
F8	15.886621	18.885266	19.303538	18.851674	19.151068	19.054957	19.445561	19.260821	19.17845	18.913273
F8	15.886621	18.885266	19.690709	19.285514	19.314095	19.441883	19.862169	19.444651	19.17845	19.233178
F8	15.886621	18.885266	19.390775	18.851674	18.975521	19.142824	19.657067	19.024985	19.17845	18.815496
F8	16.017783	18.885266	19.690709	19.285514	19.533402	19.441883	19.862169	19.444651	19.17845	19.421882
F8	15.960448	18.885266	19.25308	18.851674	19.209513	19.142824	19.657067	19.260821	19.17845	18.913273
F8	16.185775	18.885266	19.690709	19.285514	19.845625	19.441883	19.862169	19.444651	19.17845	19.421882
F8	15.960448	18.885266	19.390775	18.929797	19.314095	19.054957	19.657067	19.110865	19.17845	19.105985
F8	16.017783	18.885266	19.690709	19.285514	19.533402	19.441883	19.862169	19.444651	19.17845	19.421882
F8	16.087633	18.885266	19.303538	18.929797	19.096432	19.27382	19.54021	19.024985	19.17845	19.105985
F8	16.185775	18.885266	19.690709	19.285514	19.533402	19.584786	19.862169	19.444651	19.17845	19.421882
F8	15.960448	18.716736	19.690709	19.285514	19.533402	19.441883	19.862169	19.444651	19.17845	19.421882
F8	15.73716	18.885266	19.690709	18.929797	19.209513	19.142824	19.445561	19.110865	18.87103	19.014916
F8	15.886621	18.885266	19.690709	19.285514	19.533402	19.27382	19.862169	19.444651	19.17845	19.421882
F8	15.886621	18.885266	19.524396	19.073579	19.151068	19.054957	19.54021	19.260821	19.17845	18.913273
F8	16.142352	19.035253	19.690709	19.285514	19.533402	19.441883	19.862169	19.444651	19.17845	19.421882
F8	15.886621	18.885266	19.690709	19.073579	19.408407	19.27382	19.862169	19.260821	19.17845	18.913273
F8	15.886621	18.716736	19.111418	18.660219	19.314095	19.142824	19.445561	19.110865	18.72043	18.632425
F8	16.017783	19.035253	19.524396	19.170408	19.533402	19.27382	19.862169	19.260821	18.967617	19.105985
F8	15.886621	18.716736	19.182934	18.660219	19.096432	19.054957	19.445561	19.260821	19.17845	18.913273
F8	16.142352	19.035253	19.524396	19.285514	19.533402	19.441883	19.862169	19.444651	19.17845	19.421882
F8	15.960448	18.885266	19.182934	18.73665	19.151068	19.142824	19.445561	19.260821	18.87103	18.709331
F8	16.087633	19.035253	19.524396	19.285514	19.533402	19.584786	19.862169	19.444651	19.17845	19.421882
F8	15.73716	18.885266	19.182934	18.660219	19.209513	19.27382	19.445561	19.260821	18.87103	18.709331
F8	16.087633	18.885266	19.690709	19.285514	19.533402	19.584786	19.862169	19.444651	19.17845	19.421882
F8	16.142352	18.885266	19.182934	18.851674	19.096432	19.142824	19.54021	19.260821	18.967617	19.014916
F8	16.087633	19.035253	19.524396	19.285514	19.533402	19.441883	19.862169	19.444651	19.17845	19.421882
F8	16.017783	18.885266	19.524396	18.929797	19.408407	19.441883	19.54021	19.260821	18.87103	18.913273
F9	18.059109	17.767743	18.721635	17.824192	18.457575	18.780121	18.865833	18.456265	17.647622	18.075174
F9	17.966322	17.722311	18.595844	17.788379	18.531604	18.780121	18.964331	18.663635	17.586577	17.963728
F9	18.120331	17.852186	18.595844	17.872328	18.531604	18.780121	18.964331	18.713288	17.647622	18.013589
F9	18.059109	17.767743	18.595844	17.788379	18.531604	18.651718	18.865833	18.713288	17.586577	18.191187
F9	18.059109	17.672424	18.595844	17.872328	18.531604	18.651718	18.79471	18.607617	17.47192	18.075174
F9	18.059109	17.672424	18.595844	17.928578	18.531604	18.561132	18.79471	18.713288	17.586577	18.191187
F9	18.120331	17.81129	18.595844	17.788379	18.457575	18.651718	18.79471	18.713288	17.586577	18.013589
F9	18.059109	17.722311	18.595844	17.928578	18.531604	18.651718	18.865833	18.607617	17.706583	18.253521
F9	18.120331	17.722311	18.595844	18.103391	18.531604	18.651718	18.79471	18.607617	17.768795	17.963728
F9	17.966322	17.434177	18.595844	17.735242	18.68348	18.651718	18.865833	18.663635	17.706583	18.191187
F9	18.120331	17.722311	18.595844	17.988426	18.813245	18.651718	18.865833	18.607617	17.647622	17.963728
F9	18.059109	17.672424	18.595844	17.824192	18.68348	18.561132	18.865833	18.607617	17.647622	18.126018
F9	18.059109	17.605197	18.595844	17.928578	18.586887	18.651718	18.865833	18.607617	17.647622	17.858391
F9	18.120331	17.605197	18.595844	17.988426	18.68348	18.651718	18.865833	18.607617	17.706583	18.351584
F9	18.059109	17.550002	18.595844	17.872328	18.531604	18.651718	18.79471	18.607617	17.529219	17.963728
F9	17.966322	17.722311	18.835556	17.824192	18.391272	18.651718	18.865833	18.607617	17.647622	18.253521
F9	18.120331	17.672424	18.595844	17.695772	16.087986	18.651718	18.79471	18.607617	17.586577	18.013589
F9	18.120331	17.852186	18.402971	17.824192	18.586887	18.651718	19.071407	18.774563	17.706583	18.253521
F9	18.120331	17.722311	18.721635	17.695772	18.586887	18.651718	18.964331	18.607617	17.839791	17.963728
F9	18.120331	17.852186	18.595844	17.824192	18.457575	18.869469	19.071407	18.774563	17.915073	18.126018
F9	18.120331	17.672424	18.721635	17.695772	18.391272	18.651718	18.964331	18.456265	17.706583	17.963728
F9	18.190249	17.879044	18.721635	17.695772	18.531604	18.869469	19.071407	18.713288	17.839791	18.126018
F9	18.059109	17.916175	18.595844	17.655449	18.586887	18.651718	18.964331	18.663635	17.768795	18.126018
F9	18.120331	17.767743	18.495439	17.824192	18.531604	18.651718	19.071407	18.713288	17.647622	18.013589
